epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.083,0.55869,3.52153,1.10866,0.82795,0.86036,0.93962,0.88637,0.35009,1.17763,1.01305,8.27423e-05,8.27423e-05,8.27423e-05
2,99.5261,0.38564,1.46894,0.97381,0.86748,0.9749,0.995,0.94632,0.33834,0.58685,0.98616,0.000162787,0.000162787,0.000162787
3,145.33,0.37936,1.01687,0.961,0.93108,0.98369,0.995,0.94335,0.35901,0.5411,1.00362,0.000239532,0.000239532,0.000239532
4,191.861,0.37916,0.83369,0.9626,0.95032,0.99148,0.995,0.95251,0.3429,0.36717,0.98579,0.00023515,0.00023515,0.00023515
5,237.671,0.36874,0.71154,0.95702,0.91536,0.99816,0.995,0.9651,0.31887,0.37144,0.95574,0.0002302,0.0002302,0.0002302
6,284.224,0.35505,0.6425,0.94551,0.95181,0.9847,0.995,0.94976,0.34166,0.38243,0.97806,0.00022525,0.00022525,0.00022525
7,330.862,0.35009,0.5764,0.94566,0.98001,1,0.995,0.97375,0.28901,0.28059,0.93334,0.0002203,0.0002203,0.0002203
8,377.982,0.35184,0.52734,0.94555,0.96499,0.99893,0.995,0.96976,0.30004,0.2923,0.95315,0.00021535,0.00021535,0.00021535
9,425.476,0.3425,0.48313,0.94187,0.96048,0.99412,0.995,0.97141,0.27591,0.25835,0.92473,0.0002104,0.0002104,0.0002104
10,472.197,0.33995,0.45158,0.93857,0.96933,0.99172,0.995,0.97359,0.28779,0.25874,0.9355,0.00020545,0.00020545,0.00020545
11,519.101,0.33345,0.43125,0.93496,0.98097,0.99762,0.995,0.97714,0.2855,0.25059,0.92341,0.0002005,0.0002005,0.0002005
12,566.354,0.33438,0.41361,0.94047,0.97193,0.99529,0.995,0.9772,0.26333,0.24505,0.90425,0.00019555,0.00019555,0.00019555
13,612.969,0.3329,0.40128,0.93995,0.9652,0.99353,0.995,0.97298,0.27119,0.24281,0.92322,0.0001906,0.0001906,0.0001906
14,661.083,0.32104,0.38604,0.93258,0.96566,1,0.995,0.97313,0.25818,0.23271,0.90343,0.00018565,0.00018565,0.00018565
15,708.447,0.32245,0.36407,0.93345,0.97925,0.9995,0.995,0.97857,0.26426,0.23286,0.91402,0.0001807,0.0001807,0.0001807
16,754.872,0.32076,0.35823,0.93521,0.9721,1,0.995,0.9819,0.26369,0.22702,0.91525,0.00017575,0.00017575,0.00017575
17,801.647,0.31422,0.34609,0.92642,0.98163,0.99371,0.995,0.97846,0.24744,0.21065,0.88732,0.0001708,0.0001708,0.0001708
18,847.591,0.31313,0.34185,0.92914,0.97742,0.99862,0.995,0.98301,0.24743,0.2195,0.89874,0.00016585,0.00016585,0.00016585
19,894.344,0.32257,0.34694,0.93468,0.98647,1,0.995,0.9834,0.22629,0.204,0.87447,0.0001609,0.0001609,0.0001609
